Player,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Position
andrew-robertson,88,55,67,82,32,81,82,71,76,83,79,81,75,85,74,76,62,95,65.0,65,85,84,77,80,55,83,83,84,82,11,8,10,7,14,Midfielder/Defender
mike-maignan,18,15,17,57,16,31,38,16,53,40,50,53,41,85,56,64,74,39,78.0,20,35,25,15,61,15,66,23,16,19,85,82,85,85,89,Goal Keeper
leon-goretzka,75,82,86,86,71,84,76,75,85,86,78,78,76,87,73,85,80,86,88.0,86,82,86,85,84,60,82,74,84,78,13,8,15,11,9,Midfielder/Defender
marco-verratti,82,60,57,90,64,91,85,64,89,92,65,55,90,87,93,60,66,75,53.0,58,89,86,78,89,64,94,78,82,84,12,12,15,15,10,Midfielder/Defender
david-de-gea-quintana,17,13,21,48,13,18,21,19,50,34,52,50,63,89,43,57,67,43,55.0,12,30,30,12,53,29,58,25,21,13,88,80,76,84,89,Goal Keeper
thomas-muller,85,88,81,85,84,77,81,59,79,84,66,71,72,94,71,78,77,86,66.0,82,62,58,96,86,70,84,47,57,46,6,7,11,14,14,Forward
hugo-lloris,13,10,9,54,15,12,12,10,55,29,61,59,54,84,56,54,72,41,43.0,14,31,25,9,59,40,59,24,12,18,88,83,72,84,88,Goal Keeper
vinicius-jose-de-oliveira-junior,72,84,50,75,72,92,77,62,73,89,95,95,94,82,83,76,75,84,62.0,76,58,26,82,75,65,79,32,25,18,5,7,7,7,10,Forward
edouard-mendy,10,5,10,54,9,18,13,14,54,31,33,36,50,84,33,61,39,37,72.0,9,22,13,6,54,13,58,10,11,13,84,82,81,85,88,Goal Keeper
christopher-nkunku,81,86,61,85,70,89,82,80,80,88,87,89,88,85,90,79,59,78,64.0,78,59,64,86,85,67,81,62,64,54,5,6,10,15,7,Forward
milan-skriniar,40,42,81,72,40,67,34,30,73,72,75,81,54,86,56,50,85,81,89.0,30,87,86,30,46,56,87,91,90,82,10,13,12,8,12,Midfielder/Defender
lautaro-martinez,58,88,84,76,90,84,78,54,73,86,86,80,86,89,89,80,89,80,84.0,76,90,45,86,80,74,86,55,31,44,11,8,8,8,13,Forward
trent-alexander-arnold,92,62,69,87,63,78,87,85,91,86,76,76,73,83,73,82,66,89,66.0,75,69,83,78,90,55,82,77,82,79,14,15,14,6,7,Midfielder/Defender
nicolo-barella,79,73,53,86,80,80,79,67,85,87,80,78,90,88,90,77,78,94,73.0,79,84,83,81,86,73,86,79,79,81,11,5,13,14,11,Midfielder/Defender
sergej-milinkovic-savic,71,82,86,86,74,85,81,78,86,87,66,70,62,84,63,83,87,91,87.0,81,79,79,82,83,59,84,78,79,74,7,10,7,16,7,Midfielder/Defender
marcelo-brozovic,73,69,70,85,65,79,79,74,84,84,70,68,79,83,84,80,70,94,68.0,84,86,84,67,83,69,82,80,84,82,8,8,15,11,8,Midfielder/Defender
kingsley-coman,81,76,61,80,78,88,83,70,74,87,94,90,92,86,84,83,73,69,66.0,73,35,23,84,81,70,78,29,27,21,5,3,5,3,5,Midfielder/Defender
aymeric-laporte,58,45,84,83,40,63,61,69,81,78,55,65,57,87,55,68,80,67,84.0,47,81,87,54,65,44,84,86,87,86,10,11,5,14,5,Midfielder/Defender
bruno-miguel-borges-fernandes,85,83,64,88,87,79,87,85,87,84,75,69,78,91,79,88,71,92,66.0,88,80,67,85,90,90,79,66,73,65,12,14,15,8,14,Forward
paulo-dybala,82,83,58,86,88,90,89,88,79,93,84,76,88,79,90,84,74,68,60.0,89,43,42,82,91,84,79,32,41,39,5,4,4,5,8,Forward
fabio-henrique-tavares,75,63,75,84,47,78,71,53,82,81,62,66,63,86,64,81,75,88,81.0,70,85,86,70,76,90,85,86,87,85,13,12,6,8,8,Midfielder/Defender
riyad-mahrez,81,84,56,83,76,91,85,78,75,90,84,77,92,83,88,84,56,75,57.0,83,48,39,83,83,74,81,45,31,22,15,9,13,11,6,Forward
raheem-sterling,79,82,46,83,67,86,79,72,67,84,94,86,94,91,93,78,57,78,65.0,80,59,30,91,80,70,77,47,53,47,15,12,12,15,9,Forward
david-alaba,83,63,77,89,67,77,77,85,80,85,79,79,76,88,78,82,81,74,78.0,78,78,87,73,78,79,85,89,84,83,5,7,14,15,9,Midfielder/Defender
ciro-immobile,55,91,81,79,85,79,70,58,57,81,84,86,75,87,84,86,82,78,74.0,80,73,40,90,71,88,76,34,33,32,6,8,15,12,6,Forward
daniel-parejo-munoz,86,83,61,92,72,81,88,90,90,86,52,49,63,79,72,81,49,76,70.0,88,58,80,81,90,88,85,70,70,69,5,9,12,14,8,Midfielder/Defender
thiago-alcantara,78,68,54,91,82,89,85,77,89,92,69,55,90,84,90,75,86,75,60.0,73,80,82,75,88,75,90,68,74,74,6,11,7,9,13,Midfielder/Defender
kevin-trapp,13,13,11,25,12,10,14,12,12,24,43,50,42,84,37,59,76,45,75.0,13,30,22,12,46,17,64,15,14,10,84,82,79,85,88,Goal Keeper
wojciech-szczesny,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65.0,14,40,15,14,48,18,65,20,13,12,86,81,73,86,87,Goal Keeper
yann-sommer,13,13,10,40,8,15,12,13,31,25,48,54,55,84,58,62,73,45,68.0,12,38,21,15,64,24,57,9,19,12,78,81,82,86,90,Goal Keeper
thiago-emiliano-da-silva,60,40,82,81,61,67,62,61,82,79,45,52,62,85,66,71,88,66,78.0,65,76,89,59,71,60,86,89,86,84,9,12,5,9,10,Midfielder/Defender
pedro-gonzalez-lopez,68,68,50,87,56,87,79,62,85,88,82,76,88,85,90,66,65,88,73.0,67,62,72,77,88,53,87,68,73,63,12,7,11,8,8,Midfielder/Defender
federico-valverde,73,75,59,86,70,81,72,66,87,84,84,91,77,85,68,88,62,88,80.0,84,81,81,79,83,59,82,79,81,79,6,10,6,15,8,Midfielder/Defender
phil-foden,76,80,47,85,59,87,73,68,81,91,86,78,91,83,91,82,49,83,47.0,77,64,59,82,85,64,84,58,59,47,8,15,6,10,13,Forward
theo-hernandez,84,69,74,79,66,83,69,64,68,79,92,94,78,85,76,83,68,90,81.0,72,82,78,80,73,50,80,74,81,80,12,10,7,7,7,Midfielder/Defender
diogo-jose-teixeira-da-silva,73,86,84,77,79,85,77,58,72,84,88,82,86,87,85,85,81,83,71.0,75,85,56,89,77,69,80,53,57,45,7,12,15,9,11,Forward
marcos-acuna,87,66,60,84,68,87,88,75,78,88,77,76,83,84,90,82,63,91,80.0,81,84,80,81,82,76,87,81,85,84,8,14,13,13,14,Midfielder/Defender
nabil-fekir,81,83,49,83,77,89,83,79,77,86,88,79,85,81,91,84,64,80,81.0,83,81,34,82,87,74,89,34,42,30,15,9,8,14,15,Forward
filip-kostic,92,76,59,80,75,84,85,80,77,82,85,85,75,82,79,86,67,90,77.0,78,80,63,79,81,66,82,69,72,68,13,14,12,12,13,Midfielder/Defender
yannick-carrasco,81,81,55,80,74,90,86,80,74,86,88,89,87,80,70,84,71,79,61.0,82,65,47,82,80,81,84,46,64,61,9,11,9,10,10,Midfielder/Defender
gerard-moreno-balaguero,77,89,82,79,81,85,77,62,75,84,78,78,77,85,72,83,79,77,74.0,82,61,42,85,78,85,80,44,41,41,15,12,7,12,10,Forward
luiz-frello-filho-jorge,75,64,56,92,71,79,75,76,89,87,63,47,75,83,72,71,58,87,66.0,62,79,81,69,87,89,84,67,81,71,14,7,13,14,8,Midfielder/Defender
memphis-depay,84,84,65,81,75,87,85,83,76,87,82,84,80,84,81,87,69,79,83.0,83,72,28,85,85,76,80,23,31,20,8,14,6,12,10,Forward
iago-aspas-juncal,80,90,76,79,84,87,79,83,73,86,78,85,87,84,72,79,66,70,60.0,80,63,39,86,81,82,85,39,21,18,12,16,9,12,13,Forward
sergio-busquets-burgos,62,67,68,87,50,80,66,68,85,85,40,43,66,81,50,61,66,75,70.0,54,79,84,76,83,60,90,83,83,82,5,8,13,9,13,Midfielder/Defender
jordi-alba-ramos,86,73,70,86,75,79,82,63,81,84,86,83,87,79,84,64,80,83,61.0,66,75,80,83,78,59,80,74,78,79,13,15,13,6,13,Midfielder/Defender
pierre-emerick-aubameyang,72,87,76,78,82,78,80,76,64,81,85,89,77,84,67,82,75,68,74.0,79,43,48,88,74,82,83,20,29,36,6,9,15,9,9,Forward
kyle-walker,77,51,74,80,57,79,76,71,81,81,87,94,66,85,69,86,83,86,80.0,69,84,80,68,69,63,75,76,84,83,12,6,16,15,8,Midfielder/Defender
marco-reus,84,84,44,85,87,86,88,85,79,86,75,66,82,86,81,86,68,72,66.0,81,51,56,84,86,79,86,59,47,59,12,12,13,13,11,Forward
ilkay-gundogan,78,81,50,88,75,85,86,80,85,90,66,63,77,86,77,79,61,74,73.0,81,70,75,83,86,80,87,77,75,67,11,14,5,5,13,Midfielder/Defender
peter-gulacsi,16,10,23,35,10,19,18,11,31,25,42,44,41,81,42,57,67,37,74.0,12,34,23,11,44,24,45,25,16,20,85,84,76,83,85,Goal Keeper
jamie-tartt,74,86,72,83,83,88,77,90,77,85,81,85,81,81,77,90,66,78,79.0,85,58,27,84,81,89,84,22,28,17,5,12,6,12,14,Forward
jude-bellingham,66,77,67,84,71,85,68,49,82,84,78,73,81,84,79,78,77,89,74.0,74,85,80,77,84,56,79,79,78,76,14,11,10,5,8,Midfielder/Defender
dusan-vlahovic,57,88,79,71,78,81,75,75,59,85,77,83,63,85,53,84,71,79,88.0,82,65,24,88,68,77,80,19,26,24,5,15,6,11,10,Forward
moussa-diaby,76,80,28,80,67,88,71,42,73,85,95,92,92,76,93,73,62,82,44.0,64,67,48,79,77,48,75,48,35,46,8,9,8,8,14,Midfielder/Defender
rafael-da-conceicao-leao,75,80,63,76,74,89,80,60,63,86,90,92,82,83,80,80,62,77,80.0,72,60,24,82,74,63,81,22,24,21,10,12,15,11,9,Forward
jules-kounde,45,47,80,81,32,72,42,26,75,74,85,83,71,85,74,48,88,76,80.0,40,75,86,47,62,43,82,85,85,83,11,10,8,14,13,Midfielder/Defender
sandro-tonali,78,69,70,84,68,75,75,81,81,83,78,83,81,82,83,79,65,85,81.0,81,84,81,75,78,64,84,81,81,75,13,9,8,7,7,Midfielder/Defender
luis-diaz,76,80,62,76,74,89,75,58,71,87,92,91,88,83,75,84,73,84,69.0,82,70,25,81,77,63,83,28,38,34,10,13,13,14,14,Forward
eder-gabriel-militao,69,48,82,79,34,70,60,40,76,74,83,88,70,85,62,62,85,86,79.0,42,84,86,64,59,60,74,85,86,84,11,8,15,12,15,Midfielder/Defender
reece-james,88,69,75,83,67,83,83,76,78,82,79,83,75,83,88,83,75,83,85.0,69,77,79,78,82,62,84,81,84,80,8,12,7,13,11,Midfielder/Defender
alessandro-bastoni,70,26,82,78,35,70,53,36,78,76,68,77,58,86,57,49,75,81,82.0,37,84,85,39,57,47,82,87,87,82,11,5,9,11,12,Midfielder/Defender
federico-chiesa,75,80,50,78,80,89,78,62,72,82,91,91,88,86,81,86,53,85,70.0,84,69,30,84,77,62,81,65,44,44,6,7,8,9,7,Forward
kai-havertz,74,81,80,84,80,85,84,53,79,85,76,85,77,84,75,74,75,77,69.0,78,42,38,82,82,73,84,39,46,38,6,8,11,10,12,Forward
achraf-hakimi,84,75,68,81,74,79,77,74,73,82,91,93,82,81,78,80,79,92,72.0,73,75,78,78,77,60,72,75,76,76,10,8,14,6,8,Midfielder/Defender
gregor-kobel,13,10,13,39,10,24,13,12,33,34,38,51,37,82,29,56,68,30,81.0,10,24,14,10,59,12,66,15,15,15,84,84,74,81,88,Goal Keeper
alphonso-davies,85,64,72,82,59,87,72,44,67,84,96,93,86,84,84,74,78,81,75.0,63,77,78,77,77,60,78,76,77,71,11,11,6,5,14,Midfielder/Defender
declan-rice,55,61,72,83,50,78,58,58,84,79,68,74,55,81,67,74,74,90,79.0,65,84,85,58,79,71,83,82,84,80,8,11,14,5,9,Midfielder/Defender
patrik-schick,64,84,85,78,80,83,78,56,64,85,74,82,83,82,67,82,75,69,83.0,80,65,25,86,74,61,84,44,24,19,11,15,8,9,14,Forward
mason-mount,84,81,59,87,75,82,82,84,84,85,76,72,77,85,76,81,54,86,58.0,83,68,59,82,83,69,84,55,57,41,11,12,13,8,12,Forward
jadon-sancho,80,77,38,86,83,89,84,65,70,86,84,78,90,79,89,71,51,66,57.0,60,44,39,81,85,74,85,32,39,32,7,11,10,11,13,Forward
fikayo-tomori,56,33,83,73,32,61,38,40,65,66,80,90,74,84,71,56,83,73,84.0,45,83,85,37,48,27,81,86,89,82,10,13,10,11,7,Midfielder/Defender
mikel-oyarzabal-ugarte,81,85,60,82,74,84,77,78,73,85,80,78,79,80,80,80,72,79,57.0,81,52,29,85,82,84,83,55,32,30,10,6,10,13,11,Forward
lorenzo-pellegrini,74,77,74,88,74,82,74,79,85,87,79,79,80,85,82,79,70,90,74.0,76,74,72,80,87,82,84,73,76,73,12,7,10,13,11,Forward
wilfred-ndidi,53,50,70,78,68,71,60,60,76,77,64,69,65,86,66,80,89,89,79.0,67,88,87,64,60,56,80,86,88,83,13,14,7,7,13,Midfielder/Defender
marcos-llorente-moreno,74,80,67,86,66,82,75,63,81,84,85,90,82,84,68,84,69,90,77.0,77,82,81,83,84,65,82,79,79,74,13,6,6,11,15,Midfielder/Defender
martin-odegaard,84,75,52,88,76,85,83,85,84,85,78,75,85,74,83,76,46,81,56.0,77,63,65,79,87,63,78,65,49,51,14,15,15,8,10,Forward
leroy-sane,82,80,72,82,84,86,84,83,70,85,89,89,87,82,81,86,64,70,66.0,80,63,34,81,81,71,82,36,32,35,8,12,9,9,14,Midfielder/Defender
lucas-hernandez,78,53,82,77,46,65,59,39,63,76,77,79,70,85,72,62,86,76,78.0,51,90,83,62,63,42,77,85,85,83,10,7,8,14,10,Midfielder/Defender
youri-tielemans,81,74,67,89,79,78,84,78,88,85,58,54,65,83,76,87,65,85,69.0,87,68,70,78,86,77,85,68,72,68,6,8,10,14,12,Midfielder/Defender
pierre-emile-hojbjerg,68,68,65,84,64,79,70,74,81,80,56,54,65,85,67,85,65,87,80.0,82,88,83,69,75,56,85,84,85,73,9,7,12,11,11,Midfielder/Defender
rodrigo-javier-de-paul,78,76,58,85,71,82,84,76,85,85,80,76,78,81,78,80,68,91,79.0,78,76,79,78,86,66,81,71,81,75,13,12,10,7,14,Midfielder/Defender
domenico-berardi,77,82,62,85,78,85,78,75,79,88,82,82,92,84,87,83,65,74,64.0,80,85,25,82,83,76,78,42,30,30,5,6,5,5,6,Midfielder/Defender
thomas-partey,74,66,68,85,56,84,69,70,85,83,61,68,67,82,50,86,83,80,84.0,78,84,81,70,85,49,87,80,84,80,11,13,9,9,7,Midfielder/Defender
yassine-bounou,15,14,14,39,13,20,12,19,44,12,37,34,47,80,29,57,48,43,69.0,19,25,12,10,62,24,57,20,18,15,84,81,76,84,86,Goal Keeper
jamie-vardy,69,88,77,74,85,76,69,61,61,83,85,84,74,85,75,87,78,69,64.0,65,83,49,90,75,85,85,45,51,53,15,14,7,15,11,Forward
hakan-calhanoglu,80,75,53,87,74,86,85,85,84,88,72,62,83,84,79,85,45,78,55.0,87,73,76,79,86,81,83,69,68,63,9,14,11,6,10,Midfielder/Defender
mateo-kovacic,73,61,42,90,76,89,79,70,84,89,77,65,86,83,84,79,75,76,65.0,77,77,76,73,86,59,84,73,76,68,9,5,6,7,7,Midfielder/Defender
jack-grealish,82,76,36,84,72,88,78,74,81,87,78,75,84,81,84,76,32,80,70.0,79,60,44,81,86,58,88,48,49,43,11,6,11,10,13,Forward
serge-gnabry,77,85,42,82,83,85,74,62,73,82,84,79,85,81,88,87,55,75,69.0,82,63,38,85,81,68,82,45,44,43,14,10,10,9,7,Midfielder/Defender
daniel-carvajal-ramos,82,51,70,82,49,78,76,47,74,83,80,84,78,79,82,68,77,85,74.0,47,85,78,75,72,45,80,76,81,82,13,13,15,9,15,Midfielder/Defender
stefan-savic,36,34,84,72,27,47,34,30,71,66,60,68,58,82,52,45,86,70,82.0,31,86,87,29,55,37,80,90,86,83,14,13,14,13,12,Midfielder/Defender
emiliano-martinez,22,16,26,50,13,13,22,20,59,35,59,57,49,80,49,62,60,40,70.0,16,37,13,12,66,42,60,11,20,20,85,83,82,83,85,Goal Keeper
raphael-varane,42,46,85,78,42,61,46,52,77,75,77,84,62,82,39,52,80,67,87.0,53,78,84,55,59,43,82,85,86,83,11,11,9,5,14,Midfielder/Defender
wissam-ben-yedder,74,87,74,83,85,87,82,76,66,88,82,81,91,85,91,84,77,72,68.0,74,62,44,89,80,85,85,34,33,26,6,13,9,7,7,Forward
lorenzo-insigne,75,76,59,84,76,90,89,86,86,90,86,80,90,77,94,76,48,74,35.0,82,34,26,80,87,81,81,53,24,22,8,4,14,9,10,Forward
stefan-de-vrij,49,25,84,75,27,66,45,36,71,73,66,69,61,85,59,65,80,80,79.0,60,77,87,31,70,41,85,88,87,85,8,10,7,14,13,Midfielder/Defender
joel-matip,54,36,84,80,50,74,63,23,74,74,53,67,55,86,42,66,78,67,82.0,48,84,86,48,72,42,80,88,88,82,11,15,10,7,10,Midfielder/Defender
koen-casteels,15,15,14,35,13,14,20,13,37,23,44,46,50,80,43,59,58,44,72.0,18,33,16,15,42,20,40,11,19,17,84,82,79,84,86,Goal Keeper
sergio-canales-madrazo,81,78,50,85,67,82,85,84,86,84,84,83,83,84,81,78,39,80,71.0,84,69,77,84,90,80,80,64,74,62,15,12,16,13,12,Midfielder/Defender
iker-muniain-goni,81,79,43,85,75,87,84,79,74,87,84,78,91,81,94,73,72,77,49.0,78,66,45,82,84,64,84,58,55,38,10,5,5,13,12,Midfielder/Defender
kieran-trippier,86,54,79,82,58,74,86,87,80,82,74,66,66,83,79,80,78,86,64.0,71,73,81,76,80,66,78,79,81,81,11,14,8,11,10,Midfielder/Defender
leonardo-bonucci,44,50,83,81,58,69,56,60,85,79,45,55,55,81,53,74,90,61,81.0,65,82,85,38,71,74,85,86,83,81,2,2,3,2,4,Midfielder/Defender
angel-di-maria,85,74,51,85,78,88,92,88,80,89,80,79,91,83,75,83,70,74,61.0,84,73,42,82,89,73,87,41,55,52,10,7,11,12,11,Forward
eden-hazard,77,78,61,85,82,89,83,79,81,87,84,82,85,77,89,82,55,74,61.0,77,54,41,83,84,87,88,34,27,22,11,12,6,8,8,Forward
edin-dzeko,63,87,85,76,79,77,65,54,76,84,61,65,62,83,55,86,64,69,86.0,77,58,50,90,74,67,87,54,28,16,9,11,13,15,15,Forward
luis-suarez,75,87,84,78,88,76,85,81,73,81,73,68,70,86,77,86,69,71,84.0,84,87,39,90,80,82,86,41,45,38,27,25,31,33,37,Forward
dries-mertens,73,83,40,84,70,88,82,82,72,88,82,77,85,80,92,80,58,68,37.0,82,59,36,82,83,79,81,23,40,40,7,10,8,10,4,Forward
sergio-ramos-garcia,63,65,88,78,69,63,72,75,80,78,66,56,66,85,65,79,91,56,81.0,64,90,84,69,71,90,86,82,82,83,11,8,9,7,11,Midfielder/Defender
alejandro-gomez,83,77,38,83,72,84,85,79,78,85,90,83,91,80,93,79,67,71,44.0,82,56,40,78,85,72,85,50,30,34,8,11,12,9,6,Forward
roy-kent,63,66,52,83,67,76,73,72,81,78,53,62,63,83,66,86,61,86,79.0,70,95,79,72,83,64,81,82,84,85,15,6,14,8,7,Midfielder/Defender
cody-gakpo,83,82,60,76,75,86,78,76,68,84,86,87,81,81,71,86,75,76,77.0,83,60,39,81,79,68,78,43,38,28,15,11,7,9,5,Forward
joao-felix-sequeira,77,79,69,83,83,88,83,67,76,87,83,82,88,81,84,80,76,75,62.0,81,68,40,84,85,68,85,30,42,35,13,12,14,13,14,Forward
aurelien-tchouameni,68,67,74,86,50,78,76,53,84,80,75,72,73,83,70,78,74,83,81.0,75,80,84,75,83,55,83,81,81,78,9,8,12,12,7,Midfielder/Defender
pau-francisco-torres,55,28,85,80,41,64,45,28,76,79,70,76,68,80,52,58,80,80,82.0,40,79,83,42,67,42,73,84,85,83,11,13,13,13,9,Midfielder/Defender
gleison-bremer-silva-nascimento,46,49,85,69,38,62,42,24,69,65,77,81,66,79,66,68,82,70,85.0,39,82,84,58,45,43,74,83,87,83,13,15,13,5,6,Midfielder/Defender
carlos-soler-barragan,77,78,56,85,66,80,80,85,84,81,78,82,76,83,73,77,58,84,71.0,76,65,74,78,85,86,76,67,79,68,6,14,7,13,11,Midfielder/Defender
raphael-dias-belloli,79,77,45,76,72,87,81,79,74,84,90,91,88,83,79,83,74,86,65.0,79,76,55,82,77,78,80,47,54,38,8,7,13,8,14,Forward
cristian-romero,42,48,83,74,52,59,54,38,64,68,75,72,67,82,68,51,85,72,82.0,36,90,82,43,41,40,80,86,86,85,5,7,11,10,14,Midfielder/Defender
victor-osimhen,62,88,80,72,76,78,63,48,53,80,86,93,78,84,68,79,90,81,85.0,72,69,34,85,69,75,79,36,43,19,14,14,10,9,6,Forward
ousmane-dembele,85,75,43,78,76,89,82,64,76,85,94,93,90,78,81,83,58,68,51.0,76,54,36,77,81,75,80,42,30,33,6,6,14,10,13,Forward
unai-simon-mendibil,16,14,18,41,17,12,20,14,37,16,48,50,37,77,47,58,66,44,76.0,13,29,26,14,48,24,46,11,18,12,82,79,77,85,85,Goal Keeper
gabriel-fernando-de-jesus,74,83,78,78,78,88,76,54,66,85,87,82,92,85,90,84,81,82,73.0,77,80,32,86,77,75,78,45,30,28,13,8,6,6,15,Forward
ronaldo-jailson-cabrais-petri,83,74,64,83,76,85,86,78,82,83,90,87,86,84,71,82,69,88,68.0,78,62,40,82,83,77,81,24,35,33,12,12,13,15,13,Forward
ferland-mendy,78,63,72,82,50,77,72,45,79,76,91,92,81,82,79,69,79,90,83.0,64,82,79,80,75,49,78,77,81,80,7,16,9,10,9,Midfielder/Defender
fabian-ruiz-pena,72,79,67,85,67,85,75,61,80,88,67,56,71,81,67,77,46,90,67.0,85,68,76,81,84,67,85,70,78,75,16,11,7,13,13,Midfielder/Defender
